,titles,companies,locations,reviews,noofreviews,descriptions,salaries
242,Robotics and A.I. Trainer,Prag Robotics Private Limited,"Thanjavur, Tamil Nadu",None,None,None,"₹15,000 - ₹25,000 a month"
243,Data Scientist - AI/ML,Philips,"Bengaluru, Karnataka",None,None,None,None
244,Sr Analyst Data Science,Empower,"Bengaluru, Karnataka",None,None,None,None
245,Data Science - Senior Manager,QRight Solutions,"Chennai, Tamil Nadu",None,None,None,"Up to ₹25,00,000 a year"
246,Sr.Data Scientist,A2Z Jobs Consultancy,"Mohali, Punjab",None,None,None,None
247,Analytics Integration Specialist,Cendyn,"Hybrid remote in Hyderabad, Telangana",None,None,None,None
248,Professor- Data Science for university,Authentic Staffing Agency,"Vadodara, Gujarat",None,None,None,"₹20,000 - ₹55,000 a month"
249,Senior Data Scientist,Cognizant Technology Solutions,"Chennai, Tamil Nadu",None,None,None,None
250,Lead Data Scientist-Retail,Kalibre,"Bengaluru, Karnataka",None,None,None,"₹9,12,675.94 - ₹24,34,624.75 a year"
251,Senior Data Scientist,Lowe's,"Bengaluru, Karnataka",None,None,None,None
252,Machine Learning,Hr Biz Hub,"Indore, Madhya Pradesh",None,None,None,"₹3,00,000 - ₹6,00,000 a year"
253,Manager–Applied Data Scientist,Tesco,"Bengaluru, Karnataka",None,None,None,None
254,Artificial Intelligence Trainer,StatestreetIT,"Coimbatore, Tamil Nadu",None,None,None,"₹30,000 - ₹40,000 a month"
255,Natural Language Processing (NLP) AI Platform Engineer,Accenture,"Chennai, Tamil Nadu",None,None,None,None
256,Machine Learning Operations Application Developer,Accenture,"Bengaluru, Karnataka",None,None,None,None
257,Robotics and A.I. Trainer,Prag Robotics Private Limited,"Thanjavur, Tamil Nadu",None,None,None,"₹15,000 - ₹25,000 a month"
258,Data Scientist - AI/ML,Philips,"Bengaluru, Karnataka",None,None,None,None
259,Sr Analyst Data Science,Empower,"Bengaluru, Karnataka",None,None,None,None
260,Data Science - Senior Manager,QRight Solutions,"Chennai, Tamil Nadu",None,None,None,"Up to ₹25,00,000 a year"
261,Sr.Data Scientist,A2Z Jobs Consultancy,"Mohali, Punjab",None,None,None,None
262,Analytics Integration Specialist,Cendyn,"Hybrid remote in Hyderabad, Telangana",None,None,None,None
263,Professor- Data Science for university,Authentic Staffing Agency,"Vadodara, Gujarat",None,None,None,"₹20,000 - ₹55,000 a month"
264,Senior Data Scientist,Cognizant Technology Solutions,"Chennai, Tamil Nadu",None,None,None,None
265,Lead Data Scientist-Retail,Kalibre,"Bengaluru, Karnataka",None,None,None,"₹9,12,675.94 - ₹24,34,624.75 a year"
266,Senior Data Scientist,Lowe's,"Bengaluru, Karnataka",None,None,None,None
267,Machine Learning,Hr Biz Hub,"Indore, Madhya Pradesh",None,None,None,"₹3,00,000 - ₹6,00,000 a year"
268,Manager–Applied Data Scientist,Tesco,"Bengaluru, Karnataka",None,None,None,None
269,Artificial Intelligence Trainer,StatestreetIT,"Coimbatore, Tamil Nadu",None,None,None,"₹30,000 - ₹40,000 a month"
270,Natural Language Processing (NLP) AI Platform Engineer,Accenture,"Chennai, Tamil Nadu",None,None,None,None
271,Machine Learning Operations Application Developer,Accenture,"Bengaluru, Karnataka",None,None,None,None
272,Robotics and A.I. Trainer,Prag Robotics Private Limited,"Thanjavur, Tamil Nadu",None,None,None,"₹15,000 - ₹25,000 a month"
273,Data Scientist - AI/ML,Philips,"Bengaluru, Karnataka",None,None,None,None
274,Sr Analyst Data Science,Empower,"Bengaluru, Karnataka",None,None,None,None
275,Data Science - Senior Manager,QRight Solutions,"Chennai, Tamil Nadu",None,None,None,"Up to ₹25,00,000 a year"
276,Sr.Data Scientist,A2Z Jobs Consultancy,"Mohali, Punjab",None,None,None,None
277,Analytics Integration Specialist,Cendyn,"Hybrid remote in Hyderabad, Telangana",None,None,None,None
278,Professor- Data Science for university,Authentic Staffing Agency,"Vadodara, Gujarat",None,None,None,"₹20,000 - ₹55,000 a month"
279,Senior Data Scientist,Cognizant Technology Solutions,"Chennai, Tamil Nadu",None,None,None,None
280,Lead Data Scientist-Retail,Kalibre,"Bengaluru, Karnataka",None,None,None,"₹9,12,675.94 - ₹24,34,624.75 a year"
281,Senior Data Scientist,Lowe's,"Bengaluru, Karnataka",None,None,None,None
282,Machine Learning,Hr Biz Hub,"Indore, Madhya Pradesh",None,None,None,"₹3,00,000 - ₹6,00,000 a year"
283,Manager–Applied Data Scientist,Tesco,"Bengaluru, Karnataka",None,None,None,None
284,Artificial Intelligence Trainer,StatestreetIT,"Coimbatore, Tamil Nadu",None,None,None,"₹30,000 - ₹40,000 a month"
285,Natural Language Processing (NLP) AI Platform Engineer,Accenture,"Chennai, Tamil Nadu",None,None,None,None
286,Machine Learning Operations Application Developer,Accenture,"Bengaluru, Karnataka",None,None,None,None
287,Robotics and A.I. Trainer,Prag Robotics Private Limited,"Thanjavur, Tamil Nadu",None,None,None,"₹15,000 - ₹25,000 a month"
288,Data Scientist - AI/ML,Philips,"Bengaluru, Karnataka",None,None,None,None
289,Sr Analyst Data Science,Empower,"Bengaluru, Karnataka",None,None,None,None
290,Data Science - Senior Manager,QRight Solutions,"Chennai, Tamil Nadu",None,None,None,"Up to ₹25,00,000 a year"
291,Sr.Data Scientist,A2Z Jobs Consultancy,"Mohali, Punjab",None,None,None,None
292,Analytics Integration Specialist,Cendyn,"Hybrid remote in Hyderabad, Telangana",None,None,None,None
293,Professor- Data Science for university,Authentic Staffing Agency,"Vadodara, Gujarat",None,None,None,"₹20,000 - ₹55,000 a month"
294,Senior Data Scientist,Cognizant Technology Solutions,"Chennai, Tamil Nadu",None,None,None,None
295,Lead Data Scientist-Retail,Kalibre,"Bengaluru, Karnataka",None,None,None,"₹9,12,675.94 - ₹24,34,624.75 a year"
296,Senior Data Scientist,Lowe's,"Bengaluru, Karnataka",None,None,None,None
297,Machine Learning,Hr Biz Hub,"Indore, Madhya Pradesh",None,None,None,"₹3,00,000 - ₹6,00,000 a year"
298,Manager–Applied Data Scientist,Tesco,"Bengaluru, Karnataka",None,None,None,None
299,Artificial Intelligence Trainer,StatestreetIT,"Coimbatore, Tamil Nadu",None,None,None,"₹30,000 - ₹40,000 a month"
300,Natural Language Processing (NLP) AI Platform Engineer,Accenture,"Chennai, Tamil Nadu",None,None,None,None
301,Machine Learning Operations Application Developer,Accenture,"Bengaluru, Karnataka",None,None,None,None
302,Robotics and A.I. Trainer,Prag Robotics Private Limited,"Thanjavur, Tamil Nadu",None,None,None,"₹15,000 - ₹25,000 a month"
303,Data Scientist - AI/ML,Philips,"Bengaluru, Karnataka",None,None,None,None
304,Sr Analyst Data Science,Empower,"Bengaluru, Karnataka",None,None,None,None
305,Data Science - Senior Manager,QRight Solutions,"Chennai, Tamil Nadu",None,None,None,"Up to ₹25,00,000 a year"
306,Sr.Data Scientist,A2Z Jobs Consultancy,"Mohali, Punjab",None,None,None,None
307,Analytics Integration Specialist,Cendyn,"Hybrid remote in Hyderabad, Telangana",None,None,None,None
308,Professor- Data Science for university,Authentic Staffing Agency,"Vadodara, Gujarat",None,None,None,"₹20,000 - ₹55,000 a month"
309,Senior Data Scientist,Cognizant Technology Solutions,"Chennai, Tamil Nadu",None,None,None,None
310,Lead Data Scientist-Retail,Kalibre,"Bengaluru, Karnataka",None,None,None,"₹9,12,675.94 - ₹24,34,624.75 a year"
311,Senior Data Scientist,Lowe's,"Bengaluru, Karnataka",None,None,None,None
312,Machine Learning,Hr Biz Hub,"Indore, Madhya Pradesh",None,None,None,"₹3,00,000 - ₹6,00,000 a year"
313,Manager–Applied Data Scientist,Tesco,"Bengaluru, Karnataka",None,None,None,None
314,Artificial Intelligence Trainer,StatestreetIT,"Coimbatore, Tamil Nadu",None,None,None,"₹30,000 - ₹40,000 a month"
315,Natural Language Processing (NLP) AI Platform Engineer,Accenture,"Chennai, Tamil Nadu",None,None,None,None
316,Machine Learning Operations Application Developer,Accenture,"Bengaluru, Karnataka",None,None,None,None
317,Robotics and A.I. Trainer,Prag Robotics Private Limited,"Thanjavur, Tamil Nadu",None,None,None,"₹15,000 - ₹25,000 a month"
318,Data Scientist - AI/ML,Philips,"Bengaluru, Karnataka",None,None,None,None
319,Sr Analyst Data Science,Empower,"Bengaluru, Karnataka",None,None,None,None
320,Data Science - Senior Manager,QRight Solutions,"Chennai, Tamil Nadu",None,None,None,"Up to ₹25,00,000 a year"
321,Sr.Data Scientist,A2Z Jobs Consultancy,"Mohali, Punjab",None,None,None,None
322,Analytics Integration Specialist,Cendyn,"Hybrid remote in Hyderabad, Telangana",None,None,None,None
323,Professor- Data Science for university,Authentic Staffing Agency,"Vadodara, Gujarat",None,None,None,"₹20,000 - ₹55,000 a month"
324,Senior Data Scientist,Cognizant Technology Solutions,"Chennai, Tamil Nadu",None,None,None,None
325,Lead Data Scientist-Retail,Kalibre,"Bengaluru, Karnataka",None,None,None,"₹9,12,675.94 - ₹24,34,624.75 a year"
326,Senior Data Scientist,Lowe's,"Bengaluru, Karnataka",None,None,None,None
327,Machine Learning,Hr Biz Hub,"Indore, Madhya Pradesh",None,None,None,"₹3,00,000 - ₹6,00,000 a year"
328,Manager–Applied Data Scientist,Tesco,"Bengaluru, Karnataka",None,None,None,None
329,Artificial Intelligence Trainer,StatestreetIT,"Coimbatore, Tamil Nadu",None,None,None,"₹30,000 - ₹40,000 a month"
330,Natural Language Processing (NLP) AI Platform Engineer,Accenture,"Chennai, Tamil Nadu",None,None,None,None
331,Machine Learning Operations Application Developer,Accenture,"Bengaluru, Karnataka",None,None,None,None
332,Robotics and A.I. Trainer,Prag Robotics Private Limited,"Thanjavur, Tamil Nadu",None,None,None,"₹15,000 - ₹25,000 a month"
333,Data Scientist - AI/ML,Philips,"Bengaluru, Karnataka",None,None,None,None
334,Sr Analyst Data Science,Empower,"Bengaluru, Karnataka",None,None,None,None
335,Data Science - Senior Manager,QRight Solutions,"Chennai, Tamil Nadu",None,None,None,"Up to ₹25,00,000 a year"
336,Sr.Data Scientist,A2Z Jobs Consultancy,"Mohali, Punjab",None,None,None,None
337,Analytics Integration Specialist,Cendyn,"Hybrid remote in Hyderabad, Telangana",None,None,None,None
338,Professor- Data Science for university,Authentic Staffing Agency,"Vadodara, Gujarat",None,None,None,"₹20,000 - ₹55,000 a month"
339,Senior Data Scientist,Cognizant Technology Solutions,"Chennai, Tamil Nadu",None,None,None,None
340,Lead Data Scientist-Retail,Kalibre,"Bengaluru, Karnataka",None,None,None,"₹9,12,675.94 - ₹24,34,624.75 a year"
341,Senior Data Scientist,Lowe's,"Bengaluru, Karnataka",None,None,None,None
342,Machine Learning,Hr Biz Hub,"Indore, Madhya Pradesh",None,None,None,"₹3,00,000 - ₹6,00,000 a year"
343,Manager–Applied Data Scientist,Tesco,"Bengaluru, Karnataka",None,None,None,None
344,Artificial Intelligence Trainer,StatestreetIT,"Coimbatore, Tamil Nadu",None,None,None,"₹30,000 - ₹40,000 a month"
345,Natural Language Processing (NLP) AI Platform Engineer,Accenture,"Chennai, Tamil Nadu",None,None,None,None
346,Machine Learning Operations Application Developer,Accenture,"Bengaluru, Karnataka",None,None,None,None
347,Robotics and A.I. Trainer,Prag Robotics Private Limited,"Thanjavur, Tamil Nadu",None,None,None,"₹15,000 - ₹25,000 a month"
348,Data Scientist - AI/ML,Philips,"Bengaluru, Karnataka",None,None,None,None
349,Sr Analyst Data Science,Empower,"Bengaluru, Karnataka",None,None,None,None
350,Data Science - Senior Manager,QRight Solutions,"Chennai, Tamil Nadu",None,None,None,"Up to ₹25,00,000 a year"
351,Sr.Data Scientist,A2Z Jobs Consultancy,"Mohali, Punjab",None,None,None,None
352,Analytics Integration Specialist,Cendyn,"Hybrid remote in Hyderabad, Telangana",None,None,None,None
353,Professor- Data Science for university,Authentic Staffing Agency,"Vadodara, Gujarat",None,None,None,"₹20,000 - ₹55,000 a month"
354,Senior Data Scientist,Cognizant Technology Solutions,"Chennai, Tamil Nadu",None,None,None,None
355,Lead Data Scientist-Retail,Kalibre,"Bengaluru, Karnataka",None,None,None,"₹9,12,675.94 - ₹24,34,624.75 a year"
356,Senior Data Scientist,Lowe's,"Bengaluru, Karnataka",None,None,None,None
357,Machine Learning,Hr Biz Hub,"Indore, Madhya Pradesh",None,None,None,"₹3,00,000 - ₹6,00,000 a year"
358,Manager–Applied Data Scientist,Tesco,"Bengaluru, Karnataka",None,None,None,None
359,Artificial Intelligence Trainer,StatestreetIT,"Coimbatore, Tamil Nadu",None,None,None,"₹30,000 - ₹40,000 a month"
360,Natural Language Processing (NLP) AI Platform Engineer,Accenture,"Chennai, Tamil Nadu",None,None,None,None
361,Machine Learning Operations Application Developer,Accenture,"Bengaluru, Karnataka",None,None,None,None
362,Robotics and A.I. Trainer,Prag Robotics Private Limited,"Thanjavur, Tamil Nadu",None,None,None,"₹15,000 - ₹25,000 a month"
363,Data Scientist - AI/ML,Philips,"Bengaluru, Karnataka",None,None,None,None
364,Sr Analyst Data Science,Empower,"Bengaluru, Karnataka",None,None,None,None
365,Data Science - Senior Manager,QRight Solutions,"Chennai, Tamil Nadu",None,None,None,"Up to ₹25,00,000 a year"
366,Sr.Data Scientist,A2Z Jobs Consultancy,"Mohali, Punjab",None,None,None,None
367,Analytics Integration Specialist,Cendyn,"Hybrid remote in Hyderabad, Telangana",None,None,None,None
368,Professor- Data Science for university,Authentic Staffing Agency,"Vadodara, Gujarat",None,None,None,"₹20,000 - ₹55,000 a month"
369,Senior Data Scientist,Cognizant Technology Solutions,"Chennai, Tamil Nadu",None,None,None,None
370,Lead Data Scientist-Retail,Kalibre,"Bengaluru, Karnataka",None,None,None,"₹9,12,675.94 - ₹24,34,624.75 a year"
371,Senior Data Scientist,Lowe's,"Bengaluru, Karnataka",None,None,None,None
372,Machine Learning,Hr Biz Hub,"Indore, Madhya Pradesh",None,None,None,"₹3,00,000 - ₹6,00,000 a year"
373,Manager–Applied Data Scientist,Tesco,"Bengaluru, Karnataka",None,None,None,None
374,Artificial Intelligence Trainer,StatestreetIT,"Coimbatore, Tamil Nadu",None,None,None,"₹30,000 - ₹40,000 a month"
375,Natural Language Processing (NLP) AI Platform Engineer,Accenture,"Chennai, Tamil Nadu",None,None,None,None
376,Machine Learning Operations Application Developer,Accenture,"Bengaluru, Karnataka",None,None,None,None
377,Robotics and A.I. Trainer,Prag Robotics Private Limited,"Thanjavur, Tamil Nadu",None,None,None,"₹15,000 - ₹25,000 a month"
378,Data Scientist - AI/ML,Philips,"Bengaluru, Karnataka",None,None,None,None
379,Sr Analyst Data Science,Empower,"Bengaluru, Karnataka",None,None,None,None
380,Data Science - Senior Manager,QRight Solutions,"Chennai, Tamil Nadu",None,None,None,"Up to ₹25,00,000 a year"
381,Sr.Data Scientist,A2Z Jobs Consultancy,"Mohali, Punjab",None,None,None,None
382,Analytics Integration Specialist,Cendyn,"Hybrid remote in Hyderabad, Telangana",None,None,None,None
383,Professor- Data Science for university,Authentic Staffing Agency,"Vadodara, Gujarat",None,None,None,"₹20,000 - ₹55,000 a month"
384,Senior Data Scientist,Cognizant Technology Solutions,"Chennai, Tamil Nadu",None,None,None,None
385,Lead Data Scientist-Retail,Kalibre,"Bengaluru, Karnataka",None,None,None,"₹9,12,675.94 - ₹24,34,624.75 a year"
386,Senior Data Scientist,Lowe's,"Bengaluru, Karnataka",None,None,None,None
387,Machine Learning,Hr Biz Hub,"Indore, Madhya Pradesh",None,None,None,"₹3,00,000 - ₹6,00,000 a year"
388,Manager–Applied Data Scientist,Tesco,"Bengaluru, Karnataka",None,None,None,None
389,Artificial Intelligence Trainer,StatestreetIT,"Coimbatore, Tamil Nadu",None,None,None,"₹30,000 - ₹40,000 a month"
390,Natural Language Processing (NLP) AI Platform Engineer,Accenture,"Chennai, Tamil Nadu",None,None,None,None
391,Machine Learning Operations Application Developer,Accenture,"Bengaluru, Karnataka",None,None,None,None
392,Robotics and A.I. Trainer,Prag Robotics Private Limited,"Thanjavur, Tamil Nadu",None,None,None,"₹15,000 - ₹25,000 a month"
393,Data Scientist - AI/ML,Philips,"Bengaluru, Karnataka",None,None,None,None
394,Sr Analyst Data Science,Empower,"Bengaluru, Karnataka",None,None,None,None
395,Data Science - Senior Manager,QRight Solutions,"Chennai, Tamil Nadu",None,None,None,"Up to ₹25,00,000 a year"
396,Sr.Data Scientist,A2Z Jobs Consultancy,"Mohali, Punjab",None,None,None,None
397,Analytics Integration Specialist,Cendyn,"Hybrid remote in Hyderabad, Telangana",None,None,None,None
398,Professor- Data Science for university,Authentic Staffing Agency,"Vadodara, Gujarat",None,None,None,"₹20,000 - ₹55,000 a month"
399,Senior Data Scientist,Cognizant Technology Solutions,"Chennai, Tamil Nadu",None,None,None,None
400,Lead Data Scientist-Retail,Kalibre,"Bengaluru, Karnataka",None,None,None,"₹9,12,675.94 - ₹24,34,624.75 a year"
401,Senior Data Scientist,Lowe's,"Bengaluru, Karnataka",None,None,None,None
